vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
5.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.03234055762538,2008,0,0,0,0,0,0,1,1,0,0
5.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.844774718870125,2008,0,0,0,0,0,0,0,0,0,0
4.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,0.968452103632214,2008,0,0,0,1,0,0,0,0,0,0
5.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,0,0,0
5.0,5.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,0.825416405007554,2008,0,0,0,0,0,0,0,1,0,0
7.0,3.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,1.02394448749702,2008,0,0,0,0,1,0,0,0,0,0
6.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,4.0,0.891527671630456,2008,0,1,0,0,1,0,0,1,0,0
9.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,1,0,0,0,0,0,1,0,0
9.0,5.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,0.844774718870125,2008,0,0,0,0,0,0,0,1,0,0
5.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.803633148375986,2008,0,0,0,0,0,0,0,0,0,0
7.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.918610408044032,2008,0,1,0,0,0,0,1,1,0,0
5.0,5.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,0.78521760826911,2008,0,0,0,0,0,0,0,0,0,0
